Payload,Speed,FleetSize,PayloadFraction,FuelTankFraction,FinenessRatio
7.2060301508,43.467336683,1,0.3,0.5,3
13.221105528,85.979899497,1,0.3,0.5,3
10.261306533,100,1,0.3,0.5,3
1.8592964824,85.075376884,1,0.3,0.5,3
12.361809045,66.984924623,1,0.3,0.5,3
8.256281407,37.135678392,1,0.3,0.5,3
9.0201005025,52.512562814,1,0.3,0.5,3
3.7688442211,87.336683417,1,0.3,0.5,3
4.2462311558,39.396984925,1,0.3,0.5,3
19.140703518,18.592964824,1,0.3,0.5,3
6.9195979899,54.773869347,1,0.3,0.5,3
9.6884422111,45.728643216,1,0.3,0.5,3
13.698492462,72.864321608,1,0.3,0.5,3
16.849246231,81.909547739,1,0.3,0.5,3
5.6783919598,19.045226131,1,0.3,0.5,3
2.9095477387,38.492462312,1,0.3,0.5,3
19.618090452,35.326633166,1,0.3,0.5,3
11.311557789,59.748743719,1,0.3,0.5,3
18.185929648,53.417085427,1,0.3,0.5,3
13.030150754,74.221105528,1,0.3,0.5,3
5.0100502513,81.005025126,1,0.3,0.5,3
11.407035176,67.43718593,1,0.3,0.5,3
11.025125628,31.256281407,1,0.3,0.5,3
5.5829145729,13.618090452,1,0.3,0.5,3
7.5879396985,25.829145729,1,0.3,0.5,3
2.7185929648,68.793969849,1,0.3,0.5,3
19.045226131,13.165829146,1,0.3,0.5,3
15.32160804,11.809045226,1,0.3,0.5,3
6.6331658291,49.798994975,1,0.3,0.5,3
15.798994975,71.055276382,1,0.3,0.5,3
3.5778894472,46.180904523,1,0.3,0.5,3
2.3366834171,14.974874372,1,0.3,0.5,3
6.5376884422,22.663316583,1,0.3,0.5,3
13.603015075,81.457286432,1,0.3,0.5,3
4.1507537688,34.422110553,1,0.3,0.5,3
10.452261307,26.281407035,1,0.3,0.5,3
13.984924623,94.572864322,1,0.3,0.5,3
18.376884422,95.477386935,1,0.3,0.5,3
13.316582915,47.085427136,1,0.3,0.5,3
19.236180905,60.201005025,1,0.3,0.5,3
10.738693467,20.40201005,1,0.3,0.5,3
5.1055276382,27.185929648,1,0.3,0.5,3
15.512562814,24.472361809,1,0.3,0.5,3
12.83919598,90.502512563,1,0.3,0.5,3
16.467336683,20.854271357,1,0.3,0.5,3
19.427135678,45.27638191,1,0.3,0.5,3
4.7236180905,10.904522613,1,0.3,0.5,3
17.708542714,86.884422111,1,0.3,0.5,3
17.994974874,43.91959799,1,0.3,0.5,3
7.4924623116,79.648241206,1,0.3,0.5,3
20,83.718592965,1,0.3,0.5,3
1,42.110552764,1,0.3,0.5,3
18.567839196,32.16080402,1,0.3,0.5,3
13.889447236,12.261306533,1,0.3,0.5,3
7.9698492462,21.75879397,1,0.3,0.5,3
3.0050251256,76.934673367,1,0.3,0.5,3
3.2914572864,98.64321608,1,0.3,0.5,3
9.3065326633,89.145728643,1,0.3,0.5,3
8.9246231156,42.56281407,1,0.3,0.5,3
16.753768844,69.246231156,1,0.3,0.5,3
10.070351759,64.72361809,1,0.3,0.5,3
6.0603015075,77.83919598,1,0.3,0.5,3
4.6281407035,57.035175879,1,0.3,0.5,3
2.527638191,33.51758794,1,0.3,0.5,3
16.180904523,76.48241206,1,0.3,0.5,3
13.793969849,31.708542714,1,0.3,0.5,3
8.5427135678,56.130653266,1,0.3,0.5,3
11.884422111,44.371859296,1,0.3,0.5,3
9.4974874372,70.603015075,1,0.3,0.5,3
15.226130653,19.949748744,1,0.3,0.5,3
17.804020101,78.743718593,1,0.3,0.5,3
9.8793969849,79.195979899,1,0.3,0.5,3
12.648241206,52.964824121,1,0.3,0.5,3
17.899497487,48.442211055,1,0.3,0.5,3
8.8291457286,11.35678392,1,0.3,0.5,3
7.8743718593,17.236180905,1,0.3,0.5,3
7.3969849246,94.120603015,1,0.3,0.5,3
6.3467336683,93.668341709,1,0.3,0.5,3
15.035175879,82.814070352,1,0.3,0.5,3
5.7738693467,82.361809045,1,0.3,0.5,3
19.522613065,22.211055276,1,0.3,0.5,3
5.2010050251,96.834170854,1,0.3,0.5,3
2.432160804,43.015075377,1,0.3,0.5,3
13.412060302,55.67839196,1,0.3,0.5,3
14.08040201,27.638190955,1,0.3,0.5,3
1.6683417085,30.351758794,1,0.3,0.5,3
7.0150753769,34.874371859,1,0.3,0.5,3
17.422110553,10,1,0.3,0.5,3
4.3417085427,51.608040201,1,0.3,0.5,3
12.552763819,62.010050251,1,0.3,0.5,3
14.462311558,70.150753769,1,0.3,0.5,3
1.5728643216,97.738693467,1,0.3,0.5,3
13.507537688,41.658291457,1,0.3,0.5,3
4.8190954774,72.412060302,1,0.3,0.5,3
14.844221106,50.251256281,1,0.3,0.5,3
10.547738693,91.859296482,1,0.3,0.5,3
3.4824120603,59.296482412,1,0.3,0.5,3
10.165829146,85.527638191,1,0.3,0.5,3
3.1959798995,10.452261307,1,0.3,0.5,3
11.502512563,80.100502513,1,0.3,0.5,3
9.1155778894,63.366834171,1,0.3,0.5,3
18.090452261,15.427135678,1,0.3,0.5,3
16.371859296,61.557788945,1,0.3,0.5,3
4.4371859296,17.688442211,1,0.3,0.5,3
11.693467337,39.849246231,1,0.3,0.5,3
5.9648241206,60.653266332,1,0.3,0.5,3
18.663316583,91.407035176,1,0.3,0.5,3
14.653266332,65.628140704,1,0.3,0.5,3
10.64321608,71.507537688,1,0.3,0.5,3
1.7638190955,26.733668342,1,0.3,0.5,3
17.51758794,99.095477387,1,0.3,0.5,3
10.929648241,44.824120603,1,0.3,0.5,3
11.979899497,15.879396985,1,0.3,0.5,3
15.130653266,35.778894472,1,0.3,0.5,3
16.27638191,29.447236181,1,0.3,0.5,3
18.472361809,63.819095477,1,0.3,0.5,3
17.135678392,50.703517588,1,0.3,0.5,3
9.2110552764,32.613065327,1,0.3,0.5,3
17.231155779,38.944723618,1,0.3,0.5,3
17.040201005,16.783919598,1,0.3,0.5,3
6.2512562814,41.206030151,1,0.3,0.5,3
11.788944724,96.381909548,1,0.3,0.5,3
15.989949749,57.487437186,1,0.3,0.5,3
9.5929648241,23.567839196,1,0.3,0.5,3
2.2412060302,90.954773869,1,0.3,0.5,3
1.9547738693,38.040201005,1,0.3,0.5,3
9.4020100503,95.025125628,1,0.3,0.5,3
2.0502512563,73.316582915,1,0.3,0.5,3
8.351758794,88.24120603,1,0.3,0.5,3
7.6834170854,71.959798995,1,0.3,0.5,3
8.0653266332,84.170854271,1,0.3,0.5,3
1.2864321608,52.060301508,1,0.3,0.5,3
9.783919598,36.683417085,1,0.3,0.5,3
8.7336683417,19.497487437,1,0.3,0.5,3
14.366834171,99.547738693,1,0.3,0.5,3
6.824120603,83.266331658,1,0.3,0.5,3
16.944723618,93.216080402,1,0.3,0.5,3
11.216080402,25.376884422,1,0.3,0.5,3
18.281407035,24.924623116,1,0.3,0.5,3
1.0954773869,90.050251256,1,0.3,0.5,3
2.6231155779,23.115577889,1,0.3,0.5,3
3.3869346734,92.311557789,1,0.3,0.5,3
4.0552763819,80.552763819,1,0.3,0.5,3
5.391959799,86.432160804,1,0.3,0.5,3
15.417085427,92.763819095,1,0.3,0.5,3
19.904522613,30.804020101,1,0.3,0.5,3
2.8140703518,84.623115578,1,0.3,0.5,3
15.703517588,97.286432161,1,0.3,0.5,3
7.1105527638,87.788944724,1,0.3,0.5,3
17.613065327,33.065326633,1,0.3,0.5,3
3.1005025126,51.155778894,1,0.3,0.5,3
3.959798995,75.125628141,1,0.3,0.5,3
18.75879397,37.587939698,1,0.3,0.5,3
19.713567839,95.929648241,1,0.3,0.5,3
14.271356784,88.693467337,1,0.3,0.5,3
14.557788945,16.331658291,1,0.3,0.5,3
6.7286432161,14.070351759,1,0.3,0.5,3
10.834170854,62.914572864,1,0.3,0.5,3
15.894472362,40.301507538,1,0.3,0.5,3
4.5326633166,46.633165829,1,0.3,0.5,3
16.56281407,53.869346734,1,0.3,0.5,3
8.1608040201,47.537688442,1,0.3,0.5,3
3.864321608,69.698492462,1,0.3,0.5,3
5.2964824121,40.753768844,1,0.3,0.5,3
10.35678392,57.939698492,1,0.3,0.5,3
14.175879397,21.306532663,1,0.3,0.5,3
12.075376884,28.090452261,1,0.3,0.5,3
12.457286432,36.231155779,1,0.3,0.5,3
5.8693467337,66.532663317,1,0.3,0.5,3
8.6381909548,73.768844221,1,0.3,0.5,3
16.658291457,33.969849246,1,0.3,0.5,3
9.9748743719,14.522613065,1,0.3,0.5,3
14.748743719,61.105527638,1,0.3,0.5,3
15.608040201,65.175879397,1,0.3,0.5,3
4.9145728643,67.889447236,1,0.3,0.5,3
1.1909547739,62.462311558,1,0.3,0.5,3
12.266331658,77.386934673,1,0.3,0.5,3
5.4874371859,47.989949749,1,0.3,0.5,3
11.120603015,75.577889447,1,0.3,0.5,3
12.743718593,24.020100503,1,0.3,0.5,3
18.854271357,68.341708543,1,0.3,0.5,3
17.326633166,28.542713568,1,0.3,0.5,3
14.939698492,76.030150754,1,0.3,0.5,3
8.4472361809,98.190954774,1,0.3,0.5,3
18.949748744,74.673366834,1,0.3,0.5,3
2.1457286432,58.844221106,1,0.3,0.5,3
6.4422110553,29.899497487,1,0.3,0.5,3
12.934673367,18.140703518,1,0.3,0.5,3
16.085427136,49.346733668,1,0.3,0.5,3
19.331658291,55.226130653,1,0.3,0.5,3
11.59798995,89.59798995,1,0.3,0.5,3
7.3015075377,64.271356784,1,0.3,0.5,3
1.4773869347,66.08040201,1,0.3,0.5,3
13.125628141,78.291457286,1,0.3,0.5,3
3.6733668342,28.994974874,1,0.3,0.5,3
1.3819095477,12.713567839,1,0.3,0.5,3
12.170854271,56.582914573,1,0.3,0.5,3
19.809045226,48.894472362,1,0.3,0.5,3
6.1557788945,54.32160804,1,0.3,0.5,3
7.7788944724,58.391959799,1,0.3,0.5,3
