Payload,CruiseSpeed,FleetSize,PayloadFraction,FuelTankFraction,FinenessRatio,Y
14.63963964,45.785785786,1,0.3,0.05,3,
14.864864865,88.628628629,1,0.3,0.05,3,
9.1441441441,73.893893894,1,0.3,0.05,3,
38.918918919,58.518518519,1,0.3,0.05,3,
18.873873874,22.642642643,1,0.3,0.05,3,
11.756756757,90.950950951,1,0.3,0.05,3,
13.558558559,91.751751752,1,0.3,0.05,3,
21.936936937,91.511511512,1,0.3,0.05,3,
13.918918919,78.778778779,1,0.3,0.05,3,
22.702702703,20.24024024,1,0.3,0.05,3,
49.369369369,98.078078078,1,0.3,0.05,3,
9.8198198198,44.424424424,1,0.3,0.05,3,
37.072072072,97.677677678,1,0.3,0.05,3,
13.288288288,62.362362362,1,0.3,0.05,3,
44.54954955,32.172172172,1,0.3,0.05,3,
38.018018018,26.566566567,1,0.3,0.05,3,
26.216216216,84.704704705,1,0.3,0.05,3,
10.225225225,79.65965966,1,0.3,0.05,3,
22.477477477,32.812812813,1,0.3,0.05,3,
27.477477477,89.029029029,1,0.3,0.05,3,
26.981981982,49.469469469,1,0.3,0.05,3,
6.0810810811,66.046046046,1,0.3,0.05,3,
23.018018018,35.775775776,1,0.3,0.05,3,
41.621621622,58.678678679,1,0.3,0.05,3,
48.018018018,23.203203203,1,0.3,0.05,3,
33.738738739,53.713713714,1,0.3,0.05,3,
15.810810811,40.42042042,1,0.3,0.05,3,
18.063063063,49.70970971,1,0.3,0.05,3,
40.720720721,95.995995996,1,0.3,0.05,3,
40.855855856,92.072072072,1,0.3,0.05,3,
22.027027027,39.77977978,1,0.3,0.05,3,
27.252252252,26.246246246,1,0.3,0.05,3,
44.954954955,78.058058058,1,0.3,0.05,3,
40.810810811,81.981981982,1,0.3,0.05,3,
18.243243243,29.52952953,1,0.3,0.05,3,
23.738738739,47.787787788,1,0.3,0.05,3,
15.315315315,91.111111111,1,0.3,0.05,3,
31.936936937,23.603603604,1,0.3,0.05,3,
42.702702703,61.321321321,1,0.3,0.05,3,
34.594594595,56.116116116,1,0.3,0.05,3,
13.693693694,20.960960961,1,0.3,0.05,3,
36.531531532,47.947947948,1,0.3,0.05,3,
45.045045045,41.301301301,1,0.3,0.05,3,
48.153153153,57.557557558,1,0.3,0.05,3,
6.8918918919,51.551551552,1,0.3,0.05,3,
9.7747747748,34.254254254,1,0.3,0.05,3,
10.675675676,77.977977978,1,0.3,0.05,3,
32.882882883,67.967967968,1,0.3,0.05,3,
27.657657658,76.056056056,1,0.3,0.05,3,
23.108108108,68.928928929,1,0.3,0.05,3,
34.414414414,41.621621622,1,0.3,0.05,3,
17.612612613,41.221221221,1,0.3,0.05,3,
15.405405405,57.637637638,1,0.3,0.05,3,
32.342342342,48.508508509,1,0.3,0.05,3,
27.792792793,95.195195195,1,0.3,0.05,3,
33.243243243,71.251251251,1,0.3,0.05,3,
17.477477477,20.880880881,1,0.3,0.05,3,
45.09009009,72.052052052,1,0.3,0.05,3,
32.432432432,63.323323323,1,0.3,0.05,3,
32.522522523,89.90990991,1,0.3,0.05,3,
31.846846847,74.454454454,1,0.3,0.05,3,
5.045045045,33.853853854,1,0.3,0.05,3,
37.882882883,76.776776777,1,0.3,0.05,3,
40.540540541,45.945945946,1,0.3,0.05,3,
29.684684685,75.895895896,1,0.3,0.05,3,
35.585585586,88.468468468,1,0.3,0.05,3,
6.1711711712,92.312312312,1,0.3,0.05,3,
5.8108108108,91.591591592,1,0.3,0.05,3,
45.405405405,40.820820821,1,0.3,0.05,3,
13.243243243,63.083083083,1,0.3,0.05,3,
20.765765766,85.025025025,1,0.3,0.05,3,
29.774774775,75.015015015,1,0.3,0.05,3,
40.36036036,28.488488488,1,0.3,0.05,3,
49.774774775,29.84984985,1,0.3,0.05,3,
43.378378378,46.826826827,1,0.3,0.05,3,
10.720720721,20.4004004,1,0.3,0.05,3,
8.5585585586,33.213213213,1,0.3,0.05,3,
14.90990991,55.955955956,1,0.3,0.05,3,
42.972972973,75.655655656,1,0.3,0.05,3,
27.702702703,44.824824825,1,0.3,0.05,3,
12.972972973,20.800800801,1,0.3,0.05,3,
17.117117117,32.092092092,1,0.3,0.05,3,
26.306306306,76.456456456,1,0.3,0.05,3,
19.504504505,71.171171171,1,0.3,0.05,3,
49.72972973,40.34034034,1,0.3,0.05,3,
19.594594595,51.311311311,1,0.3,0.05,3,
44.279279279,86.946946947,1,0.3,0.05,3,
20.045045045,64.284284284,1,0.3,0.05,3,
11.216216216,21.201201201,1,0.3,0.05,3,
14.504504505,97.437437437,1,0.3,0.05,3,
24.72972973,88.548548549,1,0.3,0.05,3,
24.54954955,34.094094094,1,0.3,0.05,3,
35.495495495,90.39039039,1,0.3,0.05,3,
37.252252252,99.199199199,1,0.3,0.05,3,
10.855855856,26.326326326,1,0.3,0.05,3,
33.468468468,65.645645646,1,0.3,0.05,3,
24.90990991,31.131131131,1,0.3,0.05,3,
15.720720721,91.991991992,1,0.3,0.05,3,
5.990990991,36.736736737,1,0.3,0.05,3,
34.504504505,60.36036036,1,0.3,0.05,3,
21.801801802,33.693693694,1,0.3,0.05,3,
26.711711712,97.357357357,1,0.3,0.05,3,
27.432432432,34.014014014,1,0.3,0.05,3,
6.981981982,62.922922923,1,0.3,0.05,3,
6.5765765766,49.229229229,1,0.3,0.05,3,
25.765765766,45.465465465,1,0.3,0.05,3,
25.045045045,24.084084084,1,0.3,0.05,3,
37.747747748,89.98998999,1,0.3,0.05,3,
46.666666667,82.062062062,1,0.3,0.05,3,
36.126126126,32.252252252,1,0.3,0.05,3,
36.576576577,56.356356356,1,0.3,0.05,3,
7.3873873874,95.675675676,1,0.3,0.05,3,
22.387387387,82.862862863,1,0.3,0.05,3,
33.108108108,30.570570571,1,0.3,0.05,3,
14.144144144,95.915915916,1,0.3,0.05,3,
15.18018018,87.987987988,1,0.3,0.05,3,
28.243243243,48.828828829,1,0.3,0.05,3,
14.234234234,92.632632633,1,0.3,0.05,3,
8.5135135135,50.590590591,1,0.3,0.05,3,
18.963963964,55.555555556,1,0.3,0.05,3,
26.171171171,69.72972973,1,0.3,0.05,3,
22.162162162,54.114114114,1,0.3,0.05,3,
49.594594595,37.137137137,1,0.3,0.05,3,
35.27027027,62.522522523,1,0.3,0.05,3,
28.333333333,55.795795796,1,0.3,0.05,3,
39.864864865,38.978978979,1,0.3,0.05,3,
5.6756756757,66.446446446,1,0.3,0.05,3,
19.234234234,34.494494494,1,0.3,0.05,3,
16.981981982,70.610610611,1,0.3,0.05,3,
18.378378378,96.076076076,1,0.3,0.05,3,
15.630630631,92.472472472,1,0.3,0.05,3,
29.009009009,38.738738739,1,0.3,0.05,3,
47.387387387,92.152152152,1,0.3,0.05,3,
35.405405405,46.346346346,1,0.3,0.05,3,
35.945945946,42.422422422,1,0.3,0.05,3,
7.8378378378,70.05005005,1,0.3,0.05,3,
49.63963964,58.598598599,1,0.3,0.05,3,
11.711711712,32.732732733,1,0.3,0.05,3,
23.918918919,81.181181181,1,0.3,0.05,3,
15.765765766,67.407407407,1,0.3,0.05,3,
48.738738739,67.647647648,1,0.3,0.05,3,
21.531531532,77.897897898,1,0.3,0.05,3,
27.027027027,83.663663664,1,0.3,0.05,3,
42.792792793,91.351351351,1,0.3,0.05,3,
27.207207207,87.747747748,1,0.3,0.05,3,
25.45045045,95.035035035,1,0.3,0.05,3,
12.072072072,47.547547548,1,0.3,0.05,3,
49.234234234,39.059059059,1,0.3,0.05,3,
49.009009009,83.023023023,1,0.3,0.05,3,
38.198198198,48.188188188,1,0.3,0.05,3,
18.198198198,90.23023023,1,0.3,0.05,3,
23.333333333,38.418418418,1,0.3,0.05,3,
46.036036036,45.705705706,1,0.3,0.05,3,
45.540540541,50.43043043,1,0.3,0.05,3,
18.468468468,23.283283283,1,0.3,0.05,3,
34.009009009,63.563563564,1,0.3,0.05,3,
33.378378378,68.608608609,1,0.3,0.05,3,
49.414414414,67.567567568,1,0.3,0.05,3,
42.477477477,79.97997998,1,0.3,0.05,3,
5.3603603604,85.185185185,1,0.3,0.05,3,
29.144144144,71.091091091,1,0.3,0.05,3,
35.630630631,54.434434434,1,0.3,0.05,3,
21.351351351,51.391391391,1,0.3,0.05,3,
34.189189189,21.841841842,1,0.3,0.05,3,
18.738738739,75.575575576,1,0.3,0.05,3,
11.846846847,85.905905906,1,0.3,0.05,3,
28.783783784,56.676676677,1,0.3,0.05,3,
47.342342342,60.920920921,1,0.3,0.05,3,
47.612612613,54.674674675,1,0.3,0.05,3,
26.846846847,83.263263263,1,0.3,0.05,3,
7.5675675676,57.797797798,1,0.3,0.05,3,
31.801801802,46.586586587,1,0.3,0.05,3,
45.18018018,58.038038038,1,0.3,0.05,3,
37.567567568,98.158158158,1,0.3,0.05,3,
41.216216216,67.487487487,1,0.3,0.05,3,
30.225225225,34.174174174,1,0.3,0.05,3,
36.486486486,42.182182182,1,0.3,0.05,3,
32.792792793,59.95995996,1,0.3,0.05,3,
42.117117117,92.552552553,1,0.3,0.05,3,
43.738738739,96.236236236,1,0.3,0.05,3,
37.387387387,73.173173173,1,0.3,0.05,3,
47.027027027,38.658658659,1,0.3,0.05,3,
30.45045045,91.671671672,1,0.3,0.05,3,
46.171171171,27.127127127,1,0.3,0.05,3,
43.153153153,60.680680681,1,0.3,0.05,3,
11.036036036,29.92992993,1,0.3,0.05,3,
26.621621622,36.256256256,1,0.3,0.05,3,
27.072072072,27.847847848,1,0.3,0.05,3,
27.342342342,97.197197197,1,0.3,0.05,3,
17.387387387,25.125125125,1,0.3,0.05,3,
8.6936936937,24.724724725,1,0.3,0.05,3,
41.801801802,82.302302302,1,0.3,0.05,3,
15.135135135,93.193193193,1,0.3,0.05,3,
7.7927927928,42.902902903,1,0.3,0.05,3,
39.63963964,46.426426426,1,0.3,0.05,3,
24.684684685,94.874874875,1,0.3,0.05,3,
45.225225225,31.691691692,1,0.3,0.05,3,
47.837837838,45.625625626,1,0.3,0.05,3,
14.054054054,73.413413413,1,0.3,0.05,3,
42.027027027,93.033033033,1,0.3,0.05,3,
43.873873874,81.821821822,1,0.3,0.05,3,
40.225225225,56.036036036,1,0.3,0.05,3,
42.522522523,52.592592593,1,0.3,0.05,3,
31.036036036,93.353353353,1,0.3,0.05,3,
20.900900901,93.113113113,1,0.3,0.05,3,
30.495495495,91.831831832,1,0.3,0.05,3,
16.351351351,69.009009009,1,0.3,0.05,3,
15.900900901,46.266266266,1,0.3,0.05,3,
45.855855856,27.767767768,1,0.3,0.05,3,
44.81981982,21.281281281,1,0.3,0.05,3,
5,63.723723724,1,0.3,0.05,3,
36.846846847,53.153153153,1,0.3,0.05,3,
32.252252252,61.721721722,1,0.3,0.05,3,
23.963963964,42.502502503,1,0.3,0.05,3,
32.207207207,20.48048048,1,0.3,0.05,3,
25.27027027,64.764764765,1,0.3,0.05,3,
23.243243243,93.913913914,1,0.3,0.05,3,
37.207207207,39.93993994,1,0.3,0.05,3,
21.666666667,79.8998999,1,0.3,0.05,3,
24.054054054,51.231231231,1,0.3,0.05,3,
30.315315315,64.524524525,1,0.3,0.05,3,
49.54954955,39.6996997,1,0.3,0.05,3,
41.576576577,51.151151151,1,0.3,0.05,3,
18.693693694,86.546546547,1,0.3,0.05,3,
17.162162162,87.187187187,1,0.3,0.05,3,
16.666666667,25.445445445,1,0.3,0.05,3,
34.54954955,81.661661662,1,0.3,0.05,3,
16.306306306,30.09009009,1,0.3,0.05,3,
41.891891892,53.233233233,1,0.3,0.05,3,
28.648648649,85.585585586,1,0.3,0.05,3,
15.990990991,75.975975976,1,0.3,0.05,3,
34.63963964,99.75975976,1,0.3,0.05,3,
19.099099099,82.142142142,1,0.3,0.05,3,
26.126126126,28.568568569,1,0.3,0.05,3,
9.2342342342,50.510510511,1,0.3,0.05,3,
23.288288288,85.105105105,1,0.3,0.05,3,
17.432432432,77.737737738,1,0.3,0.05,3,
37.027027027,40.580580581,1,0.3,0.05,3,
24.774774775,33.613613614,1,0.3,0.05,3,
48.873873874,80.540540541,1,0.3,0.05,3,
29.189189189,89.109109109,1,0.3,0.05,3,
19.009009009,33.133133133,1,0.3,0.05,3,
20.495495495,90.630630631,1,0.3,0.05,3,
15.045045045,38.098098098,1,0.3,0.05,3,
35.855855856,23.843843844,1,0.3,0.05,3,
9.4594594595,97.757757758,1,0.3,0.05,3,
44.144144144,60.600600601,1,0.3,0.05,3,
38.873873874,77.497497497,1,0.3,0.05,3,
48.783783784,86.146146146,1,0.3,0.05,3,
20.585585586,98.558558559,1,0.3,0.05,3,
28.513513514,31.531531532,1,0.3,0.05,3,
35.18018018,97.837837838,1,0.3,0.05,3,
46.081081081,59.479479479,1,0.3,0.05,3,
10.315315315,24.564564565,1,0.3,0.05,3,
8.3333333333,96.876876877,1,0.3,0.05,3,
18.828828829,30.33033033,1,0.3,0.05,3,
9.6846846847,50.03003003,1,0.3,0.05,3,
11.936936937,40.740740741,1,0.3,0.05,3,
44.189189189,80.22022022,1,0.3,0.05,3,
9.0990990991,62.762762763,1,0.3,0.05,3,
8.7837837838,68.368368368,1,0.3,0.05,3,
32.567567568,25.365365365,1,0.3,0.05,3,
16.756756757,74.214214214,1,0.3,0.05,3,
48.468468468,90.15015015,1,0.3,0.05,3,
20.18018018,86.386386386,1,0.3,0.05,3,
38.468468468,76.136136136,1,0.3,0.05,3,
17.882882883,91.191191191,1,0.3,0.05,3,
33.513513514,29.60960961,1,0.3,0.05,3,
24.954954955,61.001001001,1,0.3,0.05,3,
10.27027027,89.82982983,1,0.3,0.05,3,
34.864864865,48.668668669,1,0.3,0.05,3,
17.027027027,57.157157157,1,0.3,0.05,3,
21.576576577,85.985985986,1,0.3,0.05,3,
37.792792793,28.408408408,1,0.3,0.05,3,
11.621621622,74.614614615,1,0.3,0.05,3,
29.414414414,94.154154154,1,0.3,0.05,3,
36.441441441,43.463463463,1,0.3,0.05,3,
20.675675676,24.964964965,1,0.3,0.05,3,
42.882882883,89.429429429,1,0.3,0.05,3,
38.783783784,88.948948949,1,0.3,0.05,3,
25.675675676,53.553553554,1,0.3,0.05,3,
18.423423423,27.047047047,1,0.3,0.05,3,
21.711711712,58.838838839,1,0.3,0.05,3,
34.279279279,93.513513514,1,0.3,0.05,3,
26.351351351,98.638638639,1,0.3,0.05,3,
30.36036036,85.825825826,1,0.3,0.05,3,
16.441441441,43.943943944,1,0.3,0.05,3,
36.171171171,60.520520521,1,0.3,0.05,3,
19.324324324,33.453453453,1,0.3,0.05,3,
35.900900901,25.845845846,1,0.3,0.05,3,
36.216216216,47.467467467,1,0.3,0.05,3,
7.2972972973,51.471471471,1,0.3,0.05,3,
12.612612613,44.744744745,1,0.3,0.05,3,
8.8738738739,22.242242242,1,0.3,0.05,3,
16.711711712,23.523523524,1,0.3,0.05,3,
35.36036036,74.134134134,1,0.3,0.05,3,
42.567567568,43.303303303,1,0.3,0.05,3,
47.792792793,80.700700701,1,0.3,0.05,3,
33.648648649,99.51951952,1,0.3,0.05,3,
42.612612613,70.45045045,1,0.3,0.05,3,
19.63963964,56.436436436,1,0.3,0.05,3,
42.927927928,58.198198198,1,0.3,0.05,3,
18.558558559,35.935935936,1,0.3,0.05,3,
20,53.953953954,1,0.3,0.05,3,
