Payload,CruiseSpeed,FleetSize,PayloadFraction,FuelTankFraction,FinenessRatio
26.843687375,33.627254509,1,0.3,0.05,3
15.671342685,35.390781563,1,0.3,0.05,3
30,68.577154309,1,0.3,0.05,3
12.014028056,90.541082164,1,0.3,0.05,3
24.639278557,22.885771543,1,0.3,0.05,3
15.120240481,83.166332665,1,0.3,0.05,3
5.1503006012,47.094188377,1,0.3,0.05,3
25.941883768,57.354709419,1,0.3,0.05,3
9.3086172345,69.058116232,1,0.3,0.05,3
19.97995992,53.987975952,1,0.3,0.05,3
13.517034068,82.044088176,1,0.3,0.05,3
27.394789579,80.601202405,1,0.3,0.05,3
15.721442886,96.633266533,1,0.3,0.05,3
9.2585170341,33.947895792,1,0.3,0.05,3
21.432865731,89.899799599,1,0.3,0.05,3
14.318637275,49.819639279,1,0.3,0.05,3
26.743486974,21.28256513,1,0.3,0.05,3
19.428857715,68.256513026,1,0.3,0.05,3
24.288577154,62.004008016,1,0.3,0.05,3
5.2004008016,65.851703407,1,0.3,0.05,3
26.693386774,51.102204409,1,0.3,0.05,3
12.214428858,70.661322645,1,0.3,0.05,3
26.543086172,96.312625251,1,0.3,0.05,3
27.244488978,22.565130261,1,0.3,0.05,3
19.679358717,74.188376754,1,0.3,0.05,3
11.362725451,72.264529058,1,0.3,0.05,3
19.078156313,65.531062124,1,0.3,0.05,3
22.835671343,91.503006012,1,0.3,0.05,3
11.663326653,70.821643287,1,0.3,0.05,3
12.615230461,66.492985972,1,0.3,0.05,3
10.01002004,78.356713427,1,0.3,0.05,3
15.420841683,28.977955912,1,0.3,0.05,3
5.6012024048,34.108216433,1,0.3,0.05,3
6.3026052104,20.641282565,1,0.3,0.05,3
18.72745491,59.118236473,1,0.3,0.05,3
29.799599198,31.863727455,1,0.3,0.05,3
11.062124248,93.74749499,1,0.3,0.05,3
29.549098196,92.304609218,1,0.3,0.05,3
23.436873747,37.795591182,1,0.3,0.05,3
18.476953908,80.280561122,1,0.3,0.05,3
16.422845691,89.258517034,1,0.3,0.05,3
16.122244489,27.695390782,1,0.3,0.05,3
15.971943888,97.595190381,1,0.3,0.05,3
14.118236473,65.691382766,1,0.3,0.05,3
17.625250501,40.521042084,1,0.3,0.05,3
20.881763527,72.104208417,1,0.3,0.05,3
25.390781563,45.811623246,1,0.3,0.05,3
14.418837675,49.338677355,1,0.3,0.05,3
27.595190381,24.809619238,1,0.3,0.05,3
23.136272545,65.370741483,1,0.3,0.05,3
19.729458918,48.69739479,1,0.3,0.05,3
16.923847695,44.208416834,1,0.3,0.05,3
9.8096192385,81.723446894,1,0.3,0.05,3
22.284569138,87.014028056,1,0.3,0.05,3
27.645290581,60.400801603,1,0.3,0.05,3
16.27254509,48.376753507,1,0.3,0.05,3
15.470941884,83.006012024,1,0.3,0.05,3
8.8076152305,48.537074148,1,0.3,0.05,3
11.162324649,57.194388778,1,0.3,0.05,3
16.22244489,72.745490982,1,0.3,0.05,3
23.086172345,30.901803607,1,0.3,0.05,3
21.23246493,30.420841683,1,0.3,0.05,3
24.739478958,32.985971944,1,0.3,0.05,3
8.1062124248,82.204408818,1,0.3,0.05,3
28.597194389,41.963927856,1,0.3,0.05,3
23.73747495,40.360721443,1,0.3,0.05,3
13.817635271,73.066132265,1,0.3,0.05,3
25.440881764,63.286573146,1,0.3,0.05,3
18.126252505,89.739478958,1,0.3,0.05,3
16.523046092,29.619238477,1,0.3,0.05,3
28.69739479,28.176352705,1,0.3,0.05,3
25.591182365,82.5250501,1,0.3,0.05,3
27.344689379,63.927855711,1,0.3,0.05,3
8.8577154309,98.557114228,1,0.3,0.05,3
14.368737475,88.456913828,1,0.3,0.05,3
8.7074148297,88.136272545,1,0.3,0.05,3
23.386773547,45.651302605,1,0.3,0.05,3
21.933867735,50.300601202,1,0.3,0.05,3
17.224448898,59.278557114,1,0.3,0.05,3
6.1022044088,53.827655311,1,0.3,0.05,3
14.669338677,81.402805611,1,0.3,0.05,3
6.2024048096,22.084168337,1,0.3,0.05,3
16.372745491,33.146292585,1,0.3,0.05,3
28.096192385,89.579158317,1,0.3,0.05,3
5.1002004008,43.72745491,1,0.3,0.05,3
21.082164329,76.112224449,1,0.3,0.05,3
27.54509018,21.923847695,1,0.3,0.05,3
16.022044088,95.991983968,1,0.3,0.05,3
27.895791583,34.749498998,1,0.3,0.05,3
17.825651303,67.775551102,1,0.3,0.05,3
13.116232465,31.543086172,1,0.3,0.05,3
22.184368737,68.897795591,1,0.3,0.05,3
26.29258517,91.983967936,1,0.3,0.05,3
17.074148297,90.220440882,1,0.3,0.05,3
5.501002004,93.106212425,1,0.3,0.05,3
