Payload,CruiseSpeed,FleetSize,PayloadFraction,FuelTankFraction,FinenessRatio
14.861148198,32.17623498,4.0013351135,0.3,0.05,3
7.8918558077,33.991989319,4.9732977303,0.3,0.05,3
9.0534045394,82.696929239,4.6742323097,0.3,0.05,3
14.59012016,35.914552737,3.0507343124,0.3,0.05,3
2.8584779706,39.012016021,2.8157543391,0.3,0.05,3
7.388518024,84.619492657,3.5580774366,0.3,0.05,3
6.652870494,86.435246996,1.7690253672,0.3,0.05,3
18.461949266,76.395193591,4.0066755674,0.3,0.05,3
24.579439252,24.806408545,2.3778371162,0.3,0.05,3
28.412550067,34.73965287,2.2496662216,0.3,0.05,3
15.751668892,50.44058745,1.6782376502,0.3,0.05,3
19.817089453,91.455273698,2.0894526035,0.3,0.05,3
11.182910547,47.236315087,3.7877169559,0.3,0.05,3
22.062750334,23.845126836,1.4272363151,0.3,0.05,3
23.301735648,69.025367156,3.9372496662,0.3,0.05,3
8.5887850467,56.101468625,3.696929239,0.3,0.05,3
12.73164219,43.604806409,1.3257676903,0.3,0.05,3
13.041388518,77.249666222,1.8331108144,0.3,0.05,3
7.7369826435,28.224299065,3.2483311081,0.3,0.05,3
14.783711615,76.074766355,4.3698264352,0.3,0.05,3
21.17222964,35.487316422,3.7930574099,0.3,0.05,3
28.335113485,46.809078772,3.520694259,0.3,0.05,3
6.8851802403,81.949265688,1.1655540721,0.3,0.05,3
19.700934579,71.481975968,1.779706275,0.3,0.05,3
5.0654205607,74.899866489,3.7663551402,0.3,0.05,3
28.644859813,86.755674232,2.8371161549,0.3,0.05,3
13.544726302,74.045393858,1,0.3,0.05,3
2.3551401869,81.522029372,2.2016021362,0.3,0.05,3
14.20293725,99.679572764,3.3177570093,0.3,0.05,3
21.520694259,21.174899866,3.2162883845,0.3,0.05,3
28.451268358,80.133511348,2.2603471295,0.3,0.05,3
27.715620828,42.429906542,1.17623498,0.3,0.05,3
16.79706275,88.251001335,3.2216288385,0.3,0.05,3
5.1428571429,36.55540721,3.1308411215,0.3,0.05,3
19.00400534,96.795727637,3.8357810414,0.3,0.05,3
5.1041388518,53.00400534,3.6275033378,0.3,0.05,3
1.5033377837,97.329773031,4.1989319092,0.3,0.05,3
17.648865154,54.81975968,3.6435246996,0.3,0.05,3
22.759679573,58.344459279,2.7089452603,0.3,0.05,3
1,52.256341789,2.9866488652,0.3,0.05,3
20.049399199,72.336448598,1.5874499332,0.3,0.05,3
2.1228304406,54.712950601,1.9826435247,0.3,0.05,3
3.9425901202,92.950600801,3.3017356475,0.3,0.05,3
26.128170895,95.086782377,2.6395193591,0.3,0.05,3
26.205607477,43.391188251,3.9959946595,0.3,0.05,3
1.1548731642,79.813084112,3.2963951936,0.3,0.05,3
16.332443258,28.971962617,1.7423230975,0.3,0.05,3
18.152202937,72.016021362,2.7890520694,0.3,0.05,3
5.7623497997,27.79706275,2.0307076101,0.3,0.05,3
27.483311081,21.922563418,2.2710280374,0.3,0.05,3
3.7102803738,64.005340454,1.5126835781,0.3,0.05,3
12.112149533,64.539385848,4.3164218959,0.3,0.05,3
24.037383178,96.582109479,1.3951935915,0.3,0.05,3
11.415220294,95.300400534,1.9773030708,0.3,0.05,3
29.806408545,27.263017356,3.1041388518,0.3,0.05,3
2.8971962617,97.970627503,2.2389853138,0.3,0.05,3
27.367156208,26.94259012,1.5607476636,0.3,0.05,3
12.499332443,54.499332443,3.7022696929,0.3,0.05,3
10.679572764,93.164218959,2.8584779706,0.3,0.05,3
6.3431241656,33.03070761,2.1695594126,0.3,0.05,3
6.5754339119,51.508678238,4.6849132176,0.3,0.05,3
9.9052069426,42.002670227,1.4859813084,0.3,0.05,3
4.4072096128,73.08411215,1.7957276368,0.3,0.05,3
24.424566088,93.05740988,2.1588785047,0.3,0.05,3
12.538050734,22.456608812,3.9319092123,0.3,0.05,3
14.086782377,44.672897196,2.4899866489,0.3,0.05,3
11.337783712,44.032042724,4.7169559413,0.3,0.05,3
27.986648865,55.246995995,4.1829105474,0.3,0.05,3
13.931909212,23.631508678,3.6328437917,0.3,0.05,3
23.921228304,38.26435247,3.8144192256,0.3,0.05,3
21.133511348,50.974632844,3.1361815754,0.3,0.05,3
4.9492656876,94.445927904,4.129506008,0.3,0.05,3
23.843791722,25.340453939,3.5100133511,0.3,0.05,3
16.719626168,38.691588785,4.0333778371,0.3,0.05,3
15.558077437,64.646194927,4.5086782377,0.3,0.05,3
22.953271028,48.624833111,1.5073431242,0.3,0.05,3
29.651535381,57.276368491,4.5781041389,0.3,0.05,3
4.3297730307,59.732977303,3.7503337784,0.3,0.05,3
22.256341789,65.500667557,3.002670227,0.3,0.05,3
4.0974632844,35.166889186,2.0146862483,0.3,0.05,3
4.2910547397,39.1188251,1.3578104139,0.3,0.05,3
6.0333778371,22.777036048,2.8531375167,0.3,0.05,3
3.9813084112,89.639519359,1.4485981308,0.3,0.05,3
17.222963952,51.401869159,2.9065420561,0.3,0.05,3
6.4205607477,63.044058745,4.1562082777,0.3,0.05,3
15.712950601,34.846461949,1.9345794393,0.3,0.05,3
28.799732977,77.890520694,3.1682242991,0.3,0.05,3
15.983978638,58.451268358,1.8544726302,0.3,0.05,3
10.137516689,51.935914553,2.2977303071,0.3,0.05,3
22.217623498,56.421895861,3.4299065421,0.3,0.05,3
7.8144192256,94.873164219,4.2630173565,0.3,0.05,3
13.85447263,49.692923899,3.8518024032,0.3,0.05,3
